,Unnamed: 0,key_phrases,review_polarity
15,15,"[' BA A380', 'their age', 'they', 'the interiors', 'it', 'a let', 'the flight', 'Cabin crew', 'Dinner', 'the breakfast', 'board entertainment', 'seat', 'USB points', 'The only upside', 'BA', 'it', 'only 1 of 2 airlines', 'who', 'this route', 'their pricing', 'this', 'you', 'better airlines']","{'neg': 0.049, 'neu': 0.782, 'pos': 0.168, 'compound': 0.8462}"
16,16,"[' \xa0Credit', 'BA', 'Singapore', 'Doha', 'London', 'both experiences', 'Service', 'the quality', 'the food', 'entertainment', 'BA', 'it', 'average experiences', 'You', 'the difference', 'the staff', 'the cold and corporate middle eastern airline crews', 'one BA', '2 great flights']","{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.9768}"
17,17,"[' \xa0The check', 'area', 'premium classes', 'Gatwick', 'no queue', 'I', 'I', 'my bag', 'Premium security', 'Gatwick', 'The flight', 'NATS issues', 'the member', 'staff', 'the lounge', 'me', 'this', 'The lounge', 'nicevand', 'it', 'an excellent range', 'food', 'drinks', 'All the drinks', 'you', 'Food', 'sandwiches', 'soup', 'pasta', 'salads', 'fruit', 'Spanish stew', 'turkey', 'ham pies', 'mashed potato', 'parsnips', 'carrots', 'gravy', 'It', 'so many options', 'Boarding', 'the gate crew', 'a good job', 'it', 'priority passengers', 'the onboard experience', 'terms', 'seat', 'ba Europe business', 'line', 'other European carriers', 'That', 'the seat', 'the adjustable headrest', 'The', 'board catering', 'excellent quality', 'I', 'my preferred option', 'the roast turkey', 'several people', 'me', 'I', 'meal options', 'the meal options', 'roast turkey', 'all the trimmings', 'vegetarian cottage pie', 'a chicken salad', 'you', 'every passenger', 'the proper meal', 'that', 'an order', 'advance service', 'you', 'the meals', 'that', 'people', 'I', 'the desire', 'waste', 'both food', 'cost', 'people', 'the ideal meal option', 'the people', 'this', 'it', 'the cabin crew', 'which', 'they', 'a bit', 'perspective', 'just how serious a situation', 'it', 'The cabin crew', 'the point', 'the positive experience', 'I', 'The ground service', 'Gran Canaria', 'priority bags', 'nothing', '95%', 'bags', 'mine', 'bag delivery', 'poor delivery', 'service', 'the service', 'they', 'their customers', 'it', 'a very nice flight', 'it', 'avios', 'I']","{'neg': 0.079, 'neu': 0.695, 'pos': 0.227, 'compound': 0.9979}"
18,18,"[' The flight', 'Heathrow congestion', 'schedule', 'Boarding', 'the onboard service', 'A small snack', 'a bottle', 'water', 'additional items', 'purchase', 'The cabin', 'toilets', 'Overall an unremarkable flight', 'a good way']","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.9537}"
19,19,"['BA', 'the air', 'they', 'you', 'connections', 'London Heathrow Terminal', 'their private, BA-only terminal', 'which', 'you', '90 minutes', 'time', 'you', 'the terminal gate', 'Endless line', 'slow process', 'Your boarding starts', 'you', 'the X ray', 'it', 'a train ride', 'the same terminal', 'different, distant buildings', 'Lots', 'stress']","{'neg': 0.031, 'neu': 0.89, 'pos': 0.079, 'compound': 0.6467}"
20,20,"['I', 'my leg', 'our return flight', 'Lisbon', 'London', 'I', 'some assistance', 'British Airways', 'wheelchair assistance', 'an easier seat', 'possibly an upgrade', 'I', 'my broken leg', 'which', 'a cast', 'This airline', 'all fronts', 'us', 'a price', 'I', 'my husband', 'which', 'we', 'me', 'the plane', 'my medical report', 'They', 'our seats', 'which', 'the back', 'The single concession', 'they', 'me', '1st', 'a wheelchair', 'I', 'myself', 'the aisle', 'my seat', 'the arm', 'rests', 'all 21 rows', 'my seat', 'the aisles', 'crutches', 'I', 'I', 'No wheelchair', 'me', 'Heathrow', 'bus', 'crutches', 'terminals', 'a tumble', 'a wheelchair', 'that', 'they', 'my connecting flight', 'another airline', 'me', 'we', 'board', 'That flight', 'us', 'business class', 'a reasonable price', 'great care', 'me']","{'neg': 0.038, 'neu': 0.897, 'pos': 0.064, 'compound': 0.7992}"
21,21,"['MIA straightforward', 'BA', 'American flagship lounge', 'gate D30', 'which', 'Flight', '1 hours', 'Boarding', 'board staff', 'Seat', 'product ageing', 'Post', 'service prompt', '6 hours', 'I', 'club world BA', 'rose champagne', 'which', 'a shame', 'Pre arrival breakfast', 'deplane', 'Luggage']","{'neg': 0.139, 'neu': 0.669, 'pos': 0.192, 'compound': 0.3577}"
22,22,"['I', 'such a terrible customer experience', 'The plane', 'any operational delays', 'the boarding', 'over 1 hour', 'the crew', 'the luggages', 'this long 1 hour boarding process', 'the captain', 'This', 'this', 'a night flight', 'passengers', 'train connections', 'home']","{'neg': 0.118, 'neu': 0.845, 'pos': 0.037, 'compound': -0.6729}"
23,23,"['BA', 'a few years', 'I', 'some', 'the reviews', 'preparation', 'I', 'this flight', 'low expectations', 'I', 'the flight', 'We', 'LHR', 'JNB', 'schedule', 'Cabin crew', 'some carriers', 'Onboard catering', 'a disappointment', 'you', 'the chicken', 'you', 'a very sloppy pasta', 'board entertainment', ""BA's strong point"", 'that', 'BA', 'the prestigious carrier', 'it', 'my experience', 'some reviews']","{'neg': 0.083, 'neu': 0.819, 'pos': 0.098, 'compound': 0.4289}"
24,24,"['I', 'the utter frustration', 'disappointment', 'that', 'my recent travel experience', 'British Airways', 'folks', 'this one', 'a rollercoaster', 'July', 'I', 'the displeasure', 'British Airways', 'BA709', 'BA7', 'me', 'you', 'it', 'a nightmare', 'The initial flight', 'Zurich', 'ZRH', 'London', 'LHR', 'BA709', 'a seemingly unavoidable one-hour delay', 'arrival', 'LHR', 'This', 'course', 'me', 'my connection', 'Tokyo', 'an automatic rescheduling', 'my flight', 'Tokyo', 'HND', 'Beijing', 'Air China', 'the fun', 'flight CA183', 'my 16-hour delay', 'a grand total', '23 hours', 'Tokyo', 'And the cherry', 'top', 'My four checked-in suitcases', 'a detour', 'me', 'Tokyo', 'me', 'an additional two hours', 'forms', 'the baggage center', 'I', 'my lost luggage', 'July', 'it', 'My return flight', 'Tokyo', 'Zurich', '(BA8', 'August', 'the delay tune', 'me', 'punctuality', 'just a myth', 'British Airways', 'The cumulative impact', 'these delays', 'my vacation plans', 'a whole day', 'scheduled activities', 'a guided Tokyo tour', 'that', 'I', 'my pockets', 'unforeseen expenses', 'extra airport transfers', 'tour operator assistance fees', 'emergency purchases', 'airport meals', 'international calls', 'rearrangements', 'The lack', 'assistance', 'LHR airport', 'the icing', 'this bitter cake', 'the BA app', 'basic information', 'alternative connection flights', 'a hassle', 'the fact', 'no BA clerk', 'this info', 'person', 'you', 'me', 'a sour taste', 'my mouth', 'a dent', 'my wallet', 'you', 'this feedback', 'your game', 'it', 'a good look', 'Frustrated']","{'neg': 0.133, 'neu': 0.787, 'pos': 0.079, 'compound': -0.9671}"
